Qiime_ID,Input_ID,Genus,OTU,Taxa
>V4_2750,V4_AIEP01000007_Staphylococcus_aureus_subsp_aureus_CIG1500,Staphylococcus_aureus,25,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae
>V4_2751,V4_AIEP01000008_Staphylococcus_aureus_subsp_aureus_CIG1500,Staphylococcus_aureus,25,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae
>V4_2752,V4_AIEP01000018_Staphylococcus_aureus_subsp_aureus_CIG1500,Staphylococcus_aureus,25,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae
>V4_2753,V4_AIEQ01000008_Staphylococcus_aureus_subsp_aureus_CIG1835,Staphylococcus_aureus,25,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae
>V4_2754,V4_AIEQ01000009_Staphylococcus_aureus_subsp_aureus_CIG1835,Staphylococcus_aureus,25,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae
>V4_2755,V4_AIEQ01000010_Staphylococcus_aureus_subsp_aureus_CIG1835,Staphylococcus_aureus,25,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae
>V4_2756,V4_AIEQ01000011_Staphylococcus_aureus_subsp_aureus_CIG1835,Staphylococcus_aureus,25,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae
>V4_2757,V4_AIER01000001_Staphylococcus_aureus_subsp_aureus_CIG1096,Staphylococcus_aureus,25,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae
>V4_2758,V4_AIER01000002_Staphylococcus_aureus_subsp_aureus_CIG1096,Staphylococcus_aureus,25,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae
>V4_2759,V4_AIER01000003_Staphylococcus_aureus_subsp_aureus_CIG1096,Staphylococcus_aureus,25,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae
>V4_2208,V4_AGOJ01000015_Streptococcus_pneumoniae_GA41410,Streptococcus_pneumoniae,21,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus
>V4_2209,V4_AGOJ01000016_Streptococcus_pneumoniae_GA41410,Streptococcus_pneumoniae,21,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus
>V4_4758,V4_EU272862_Bacillus_cereus,Bacillus,10,k__Bacteria;p__Firmicutes;c__Bacilli;o__;f__;g__;s__
>V4_4759,V4_EU275353_Bacillus_cereus,Bacillus,10,k__Bacteria;p__Firmicutes;c__Bacilli;o__;f__;g__;s__
>V4_4752,V4_EU240435_Bacillus_cereus,Bacillus,10,k__Bacteria;p__Firmicutes;c__Bacilli;o__;f__;g__;s__
>V4_4753,V4_EU240438_Bacillus_cereus,Bacillus,10,k__Bacteria;p__Firmicutes;c__Bacilli;o__;f__;g__;s__
>V4_4750,V4_EU240432_Bacillus_cereus,Bacillus,10,k__Bacteria;p__Firmicutes;c__Bacilli;o__;f__;g__;s__
>V4_4751,V4_EU240433_Bacillus_cereus,Bacillus,10,k__Bacteria;p__Firmicutes;c__Bacilli;o__;f__;g__;s__
>V4_4756,V4_EU240976_Bacillus_cereus,Bacillus,10,k__Bacteria;p__Firmicutes;c__Bacilli;o__;f__;g__;s__
>V4_4757,V4_EU249556_Bacillus_cereus,Bacillus,10,k__Bacteria;p__Firmicutes;c__Bacilli;o__;f__;g__;s__
>V4_4754,V4_EU240440_Bacillus_cereus,Bacillus,10,k__Bacteria;p__Firmicutes;c__Bacilli;o__;f__;g__;s__
>V4_4755,V4_EU240972_Bacillus_cereus,Bacillus,10,k__Bacteria;p__Firmicutes;c__Bacilli;o__;f__;g__;s__
>V4_3151,V4_AJ310100_Bacillus_cereus_biovar_toyoi,Bacillus,10,k__Bacteria;p__Firmicutes;c__Bacilli;o__;f__;g__;s__
>V4_3150,V4_AJ310098_Bacillus_cereus,Bacillus,10,k__Bacteria;p__Firmicutes;c__Bacilli;o__;f__;g__;s__
>V4_3153,V4_AJ535697_Listeria_monocytogeneS,Listeria,14,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;g__;s__
>V4_3152,V4_AJ420803_Enterococcus_faecalis,Enterococcus,27,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__
>V4_3155,V4_AJ539175_Bacillus_cereus,Bacillus,10,k__Bacteria;p__Firmicutes;c__Bacilli;o__;f__;g__;s__
>V4_3154,V4_AJ535701_Listeria_monocytogeneS,Listeria,14,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;g__;s__
